"song_id","title","artist_id","album_id","genre_id","release_date","duration"
"401","Blinding Lights","101","201","301","2020-03-20","3:20"
"402","Easy On Me","102","202","301","2021-10-15","3:44"
"403","God’s Plan","103","203","303","2018-01-19","3:18"
"404","Break My Soul","104","204","302","2022-06-21","4:38"
"405","Shape of You","105","205","301","2017-01-06","3:53"
"406","Circles","107","207","305","2019-08-30","3:35"
"407","Can’t Feel My Face","101","208","302","2015-06-08","3:33"
"408","Lover","106","206","307","2019-08-23","3:41"
"409","Take Care","103","203","303","2011-11-15","4:37"
"410","Starboy","101","208","305","2016-09-22","3:50"
